name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	1888.0	2.313	696.0	0.155
Left-G_and_S_occipital_inf	3724.0	2.48	1322.0	0.134
Left-G_and_S_paracentral	2710.0	2.414	936.0	0.098
Left-G_and_S_subcentral	3025.0	2.71	994.0	0.126
Left-G_and_S_transv_frontopol	1381.0	2.381	482.0	0.172
Left-G_and_S_cingul-Ant	4256.0	2.61	1567.0	0.106
Left-G_and_S_cingul-Mid-Ant	1967.0	2.662	774.0	0.089
Left-G_and_S_cingul-Mid-Post	2280.0	2.682	826.0	0.104
Left-G_cingul-Post-dorsal	1414.0	3.175	341.0	0.121
Left-G_cingul-Post-ventral	567.0	2.763	189.0	0.089
Left-G_cuneus	2482.0	1.933	1151.0	0.14
Left-G_front_inf-Opercular	4019.0	2.732	1169.0	0.132
Left-G_front_inf-Orbital	979.0	2.746	270.0	0.162
Left-G_front_inf-Triangul	2594.0	2.86	700.0	0.127
Left-G_front_middle	9025.0	2.69	2641.0	0.143
Left-G_front_sup	17023.0	2.828	4890.0	0.124
Left-G_Ins_lg_and_S_cent_ins	1493.0	3.48	386.0	0.103
Left-G_insular_short	2261.0	3.817	429.0	0.111
Left-G_occipital_middle	4811.0	2.439	1596.0	0.128
Left-G_occipital_sup	2046.0	2.141	867.0	0.137
Left-G_oc-temp_lat-fusifor	4678.0	2.735	1386.0	0.136
Left-G_oc-temp_med-Lingual	4508.0	2.127	1846.0	0.148
Left-G_oc-temp_med-Parahip	2489.0	2.48	734.0	0.082
Left-G_orbital	5572.0	2.662	1714.0	0.145
Left-G_pariet_inf-Angular	7075.0	2.605	2098.0	0.136
Left-G_pariet_inf-Supramar	5534.0	2.545	1766.0	0.12
Left-G_parietal_sup	5563.0	2.277	1960.0	0.129
Left-G_postcentral	4368.0	2.38	1487.0	0.125
Left-G_precentral	6118.0	3.006	1533.0	0.101
Left-G_precuneus	6900.0	2.579	2206.0	0.141
Left-G_rectus	2912.0	2.758	832.0	0.174
Left-G_subcallosal	885.0	2.178	433.0	0.155
Left-G_temp_sup-G_T_transv	1208.0	2.717	340.0	0.094
Left-G_temp_sup-Lateral	5007.0	2.657	1398.0	0.133
Left-G_temp_sup-Plan_polar	1722.0	2.737	521.0	0.067
Left-G_temp_sup-Plan_tempo	2134.0	2.548	731.0	0.09
Left-G_temporal_inf	5075.0	2.675	1539.0	0.151
Left-G_temporal_middle	6503.0	2.815	1784.0	0.136
Left-Lat_Fis-ant-Horizont	363.0	1.893	213.0	0.085
Left-Lat_Fis-ant-Vertical	567.0	2.122	275.0	0.089
Left-Lat_Fis-post	1597.0	2.475	794.0	0.096
Left-Pole_occipital	2288.0	1.803	1159.0	0.134
Left-Pole_temporal	4251.0	3.053	947.0	0.173
Left-S_calcarine	2229.0	1.895	1357.0	0.123
Left-S_central	3645.0	2.042	2009.0	0.083
Left-S_cingul-Marginalis	1494.0	2.115	775.0	0.078
Left-S_circular_insula_ant	853.0	2.995	338.0	0.082
Left-S_circular_insula_inf	2254.0	3.027	849.0	0.07
Left-S_circular_insula_sup	2786.0	2.746	1212.0	0.094
Left-S_collat_transv_ant	1126.0	2.788	431.0	0.12
Left-S_collat_transv_post	714.0	2.09	382.0	0.119
Left-S_front_inf	2978.0	2.29	1437.0	0.097
Left-S_front_middle	2529.0	2.393	1006.0	0.111
Left-S_front_sup	3983.0	2.421	1808.0	0.089
Left-S_interm_prim-Jensen	327.0	2.429	161.0	0.115
Left-S_intrapariet_and_P_trans	3925.0	2.123	2084.0	0.094
Left-S_oc_middle_and_Lunatus	958.0	1.851	576.0	0.132
Left-S_oc_sup_and_transversal	1867.0	2.208	967.0	0.095
Left-S_occipital_ant	1036.0	2.192	522.0	0.096
Left-S_oc-temp_lat	951.0	2.357	450.0	0.104
Left-S_oc-temp_med_and_Lingual	3233.0	2.243	1541.0	0.093
Left-S_orbital_lateral	471.0	1.963	247.0	0.129
Left-S_orbital_med-olfact	1011.0	2.364	479.0	0.109
Left-S_orbital-H_Shaped	2253.0	2.407	879.0	0.124
Left-S_parieto_occipital	2311.0	2.33	1125.0	0.095
Left-S_pericallosal	1123.0	2.112	632.0	0.093
Left-S_postcentral	3602.0	2.282	1735.0	0.102
Left-S_precentral-inf-part	2533.0	2.605	1037.0	0.086
Left-S_precentral-sup-part	2207.0	2.519	1011.0	0.098
Left-S_suborbital	1241.0	2.304	595.0	0.12
Left-S_subparietal	1623.0	2.379	801.0	0.101
Left-S_temporal_inf	2345.0	2.298	1130.0	0.084
Left-S_temporal_sup	9470.0	2.285	4371.0	0.101
Left-S_temporal_transverse	500.0	2.06	279.0	0.115
