name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	2338.0	2.28	977.0	0.133
Left-G_and_S_occipital_inf	3287.0	2.573	1091.0	0.135
Left-G_and_S_paracentral	3257.0	2.559	1100.0	0.107
Left-G_and_S_subcentral	3370.0	2.788	1052.0	0.115
Left-G_and_S_transv_frontopol	1335.0	2.442	453.0	0.137
Left-G_and_S_cingul-Ant	5260.0	2.649	1847.0	0.123
Left-G_and_S_cingul-Mid-Ant	2277.0	2.879	786.0	0.117
Left-G_and_S_cingul-Mid-Post	2340.0	2.98	830.0	0.1
Left-G_cingul-Post-dorsal	1949.0	3.261	438.0	0.133
Left-G_cingul-Post-ventral	578.0	2.78	178.0	0.123
Left-G_cuneus	2791.0	1.669	1504.0	0.14
Left-G_front_inf-Opercular	3320.0	2.76	947.0	0.113
Left-G_front_inf-Orbital	657.0	2.703	182.0	0.158
Left-G_front_inf-Triangul	2327.0	2.945	658.0	0.137
Left-G_front_middle	9880.0	2.405	3372.0	0.134
Left-G_front_sup	16951.0	2.687	5357.0	0.122
Left-G_Ins_lg_and_S_cent_ins	1578.0	2.834	523.0	0.128
Left-G_insular_short	2259.0	3.679	434.0	0.119
Left-G_occipital_middle	6230.0	2.478	2062.0	0.125
Left-G_occipital_sup	2359.0	2.043	1012.0	0.122
Left-G_oc-temp_lat-fusifor	5238.0	3.128	1381.0	0.116
Left-G_oc-temp_med-Lingual	4366.0	1.912	2065.0	0.136
Left-G_oc-temp_med-Parahip	4488.0	3.036	1079.0	0.084
Left-G_orbital	7041.0	2.713	2055.0	0.14
Left-G_pariet_inf-Angular	5965.0	2.64	1794.0	0.132
Left-G_pariet_inf-Supramar	6657.0	2.774	1955.0	0.133
Left-G_parietal_sup	6978.0	2.294	2521.0	0.138
Left-G_postcentral	4551.0	2.338	1557.0	0.107
Left-G_precentral	6197.0	2.882	1677.0	0.102
Left-G_precuneus	6447.0	2.674	1944.0	0.132
Left-G_rectus	2741.0	2.647	774.0	0.116
Left-G_subcallosal	1204.0	2.5	464.0	0.103
Left-G_temp_sup-G_T_transv	1385.0	3.154	309.0	0.107
Left-G_temp_sup-Lateral	4743.0	2.699	1326.0	0.127
Left-G_temp_sup-Plan_polar	1940.0	3.243	547.0	0.07
Left-G_temp_sup-Plan_tempo	2074.0	2.822	667.0	0.072
Left-G_temporal_inf	8403.0	2.876	2328.0	0.145
Left-G_temporal_middle	5760.0	2.691	1743.0	0.111
Left-Lat_Fis-ant-Horizont	499.0	2.696	173.0	0.067
Left-Lat_Fis-ant-Vertical	413.0	2.609	202.0	0.089
Left-Lat_Fis-post	1601.0	2.951	719.0	0.1
Left-Pole_occipital	2509.0	1.733	1346.0	0.123
Left-Pole_temporal	4929.0	3.007	1127.0	0.141
Left-S_calcarine	2094.0	1.75	1350.0	0.127
Left-S_central	3800.0	2.064	2111.0	0.094
Left-S_cingul-Marginalis	1875.0	2.401	868.0	0.09
Left-S_circular_insula_ant	881.0	3.012	347.0	0.089
Left-S_circular_insula_inf	1926.0	3.066	784.0	0.073
Left-S_circular_insula_sup	2353.0	2.846	1034.0	0.093
Left-S_collat_transv_ant	1716.0	3.014	609.0	0.104
Left-S_collat_transv_post	659.0	2.228	386.0	0.138
Left-S_front_inf	3046.0	2.363	1449.0	0.099
Left-S_front_middle	2086.0	2.236	1069.0	0.102
Left-S_front_sup	4615.0	2.312	2127.0	0.089
Left-S_interm_prim-Jensen	369.0	2.36	176.0	0.094
Left-S_intrapariet_and_P_trans	4031.0	2.292	1997.0	0.101
Left-S_oc_middle_and_Lunatus	1710.0	2.115	891.0	0.132
Left-S_oc_sup_and_transversal	1935.0	2.125	1010.0	0.101
Left-S_occipital_ant	1923.0	2.488	806.0	0.111
Left-S_oc-temp_lat	1577.0	2.737	668.0	0.112
Left-S_oc-temp_med_and_Lingual	3831.0	2.373	1830.0	0.096
Left-S_orbital_lateral	509.0	1.945	330.0	0.111
Left-S_orbital_med-olfact	959.0	2.524	429.0	0.116
Left-S_orbital-H_Shaped	2642.0	2.532	1064.0	0.11
Left-S_parieto_occipital	3115.0	2.568	1460.0	0.106
Left-S_pericallosal	1296.0	2.075	768.0	0.093
Left-S_postcentral	4347.0	2.367	2103.0	0.101
Left-S_precentral-inf-part	2767.0	2.474	1253.0	0.101
Left-S_precentral-sup-part	1392.0	2.391	698.0	0.092
Left-S_suborbital	818.0	2.07	468.0	0.101
Left-S_subparietal	2036.0	2.544	936.0	0.113
Left-S_temporal_inf	2301.0	2.603	971.0	0.089
Left-S_temporal_sup	10331.0	2.542	4253.0	0.095
Left-S_temporal_transverse	676.0	2.529	340.0	0.098
