sub_id	moral_decision	RT	trial_type	vigtext	vigtext_dutch	cond_id	vig_id
sub-20	4.0	4.130381899999975	fairness	You see a girl asking for allowance even though her brother did her chores for her.	U ziet een meisje om een geldbeloning vragen terwijl haar broer haar klusjes voor haar deed.	fairness10	54
sub-20	4.0	2.233720099999573	care_emotional	You see a teenage boy chuckling at an amputee he passes by while on the subway.	U ziet een tienerjongen grinniken om een geamputeerde man die hij passeert in de metro.	care_emotional01	15
sub-20	2.0	3.617010400000254	care_emotional	You see a girl telling a boy that his older brother is much more attractive than him.	U ziet een meisje tegen een jongen zeggen dat zijn oudere broer veel aantrekkelijker is dan hij.	care_emotional13	27
sub-20	3.0	3.2828970999999	sanctity	You see a girl and her sister making out with each other just for practice.	U ziet een meisje en haar zus met elkaar zoenen om te oefenen.	sanctity10	99
sub-20	4.0	3.3305986999998822	care_emotional	You see a woman commenting out loud about how fat another woman looks in her jeans.	U ziet een vrouw die hardop commentaar geeft over hoe dik een andere vrouw eruitziet in haar spijkerbroek.	care_emotional03	17
sub-20	3.0	4.501733500000228	fairness	You see a woman getting hired only because her father is close friends with the boss.	U ziet een vrouw alleen aangenomen worden omdat haar vader goede vrienden is met de baas.	fairness09	53
sub-20	4.0	4.458190999999715	sanctity	You see a woman having intimate relations with a recently deceased loved one.	U ziet een vrouw die intieme relaties heeft met een onlangs overleden geliefde.	sanctity07	96
sub-20	3.0	4.771260999999868	authority	You see a girl repeatedly interrupting her teacher as he explains a new concept.	U ziet een meisje haar leraar herhaaldelijk onderbreken terwijl hij een nieuw concept uitlegt.	authority03	2
sub-20	4.0	4.718706599999678	liberty	You see a teenager at a cafeteria forcing a younger student to pay for her lunch.	U ziet een tiener in de kantine een jongere student dwingen haar lunch te betalen.	liberty14	73
sub-20	4.0	4.764424599999984	loyalty	You see a teacher publicly saying she hopes another school wins the math contest.	U ziet een leraar publiekelijk zeggen dat ze hoopt dat een andere school de wiskundewedstrijd wint.	loyalty07	81
sub-20	4.0	3.232305399999859	sanctity	You see a college student drinking until she vomits on herself and falls asleep.	U ziet een student drinken tot ze over zichzelf braakt en in slaap valt.	sanctity15	104
sub-20	4.0	4.0936494999996285	fairness	You see a student getting an A on a group project when he didn't do his part.	U ziet een student een 10 krijgen voor een groepsproject terwijl hij zijn deel niet deed.	fairness07	51
sub-20	4.0	4.586711800000103	fairness	You see a woman lying about the number of vacation days she has taken at work.	U ziet een vrouw liegen over het aantal vakantiedagen dat ze op haar werk heeft genomen.	fairness13	57
sub-20	4.0	5.469285900000159	liberty	You see a public leader on TV trying to ban the wearing of hooded sweatshirts.	U ziet een publiekelijke leider op tv die het dragen van sweaters met een capuchon probeert te verbieden.	liberty10	69
sub-20	4.0	3.3782690999996703	loyalty	You see an American telling foreigners that the US is an evil force in the world.	U ziet een Nederlander tegen buitenlanders zeggen dat Nederland een kwaadaardige kracht in de wereld is	loyalty12	86
sub-20	4.0	3.483697900000152	care_physical	You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend.	U ziet een meisje haar hete koffie gooien naar een vrouw die aan het daten is met haar ex-vriendje.	care_physical10	39
sub-20	4.0	5.638412199999948	liberty	You see a man blocking his wife from leaving home or interacting with others.	U ziet een man die zijn vrouw blokkeert om het huis uit te gaan of om met anderen om te gaan.	liberty03	62
sub-20	4.0	3.021602300000268	loyalty	You see a former US General saying publicly he would never buy any American product.	U ziet een voormalig Nederlandse generaal die publiekelijk zegt dat hij nooit een Nederlands product zou kopen.	loyalty03	77
sub-20	4.0	2.7213105000000724	care_physical	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	U ziet een meisje herhaaldelijk op ganzen schieten met een kogelgeweer in het bos.	care_physical06	35
