name	volume	thickness	area	meancurv
Left-bankssts	2244.0	2.467	978.0	0.073
Left-caudalanteriorcingulate	2829.0	2.643	931.0	0.117
Left-caudalmiddlefrontal	6510.0	2.445	2533.0	0.107
Left-cuneus	4038.0	2.116	1778.0	0.136
Left-entorhinal	1478.0	3.501	325.0	0.088
Left-fusiform	10541.0	2.833	3297.0	0.114
Left-inferiorparietal	11473.0	2.488	4323.0	0.11
Left-inferiortemporal	12379.0	2.62	4118.0	0.111
Left-isthmuscingulate	2949.0	2.35	1140.0	0.12
Left-lateraloccipital	14686.0	2.261	5978.0	0.123
Left-lateralorbitofrontal	7803.0	2.986	2451.0	0.113
Left-lingual	8691.0	2.295	3596.0	0.133
Left-medialorbitofrontal	5969.0	2.709	2009.0	0.125
Left-middletemporal	11815.0	2.614	3838.0	0.118
Left-parahippocampal	2785.0	3.286	669.0	0.081
Left-paracentral	3396.0	2.423	1310.0	0.089
Left-parsopercularis	4628.0	2.782	1497.0	0.106
Left-parsorbitalis	2314.0	2.618	704.0	0.136
Left-parstriangularis	3421.0	2.435	1241.0	0.105
Left-pericalcarine	2268.0	1.651	1585.0	0.138
Left-postcentral	10056.0	2.069	4377.0	0.093
Left-posteriorcingulate	3639.0	2.49	1333.0	0.115
Left-precentral	14908.0	2.703	5084.0	0.093
Left-precuneus	9879.0	2.595	3550.0	0.109
Left-rostralanteriorcingulate	2734.0	2.694	918.0	0.1
Left-rostralmiddlefrontal	17632.0	2.538	6287.0	0.123
Left-superiorfrontal	23356.0	2.72	7754.0	0.111
Left-superiorparietal	13500.0	2.3	5399.0	0.107
Left-superiortemporal	13037.0	2.727	4210.0	0.097
Left-supramarginal	11014.0	2.51	3964.0	0.122
Left-frontalpole	1017.0	3.112	253.0	0.152
Left-temporalpole	1891.0	2.858	535.0	0.112
Left-transversetemporal	1174.0	2.634	432.0	0.109
Left-insula	6089.0	3.13	1903.0	0.093
