name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	1900.0	2.324	734.0	0.141
Left-G_and_S_occipital_inf	3846.0	2.365	1450.0	0.135
Left-G_and_S_paracentral	3157.0	2.5	1061.0	0.09
Left-G_and_S_subcentral	2813.0	2.729	880.0	0.119
Left-G_and_S_transv_frontopol	1487.0	2.492	465.0	0.158
Left-G_and_S_cingul-Ant	3767.0	2.533	1334.0	0.115
Left-G_and_S_cingul-Mid-Ant	2440.0	2.773	778.0	0.098
Left-G_and_S_cingul-Mid-Post	2544.0	2.742	891.0	0.111
Left-G_cingul-Post-dorsal	1362.0	3.367	323.0	0.126
Left-G_cingul-Post-ventral	401.0	2.238	139.0	0.13
Left-G_cuneus	2489.0	1.651	1414.0	0.143
Left-G_front_inf-Opercular	3354.0	2.837	873.0	0.106
Left-G_front_inf-Orbital	1431.0	2.869	353.0	0.158
Left-G_front_inf-Triangul	2893.0	2.822	770.0	0.132
Left-G_front_middle	9998.0	2.674	2884.0	0.156
Left-G_front_sup	16437.0	2.93	4527.0	0.118
Left-G_Ins_lg_and_S_cent_ins	1420.0	3.702	378.0	0.095
Left-G_insular_short	2339.0	3.659	458.0	0.115
Left-G_occipital_middle	5146.0	2.523	1686.0	0.139
Left-G_occipital_sup	2040.0	2.053	877.0	0.117
Left-G_oc-temp_lat-fusifor	3670.0	2.871	1032.0	0.129
Left-G_oc-temp_med-Lingual	4127.0	1.77	2158.0	0.153
Left-G_oc-temp_med-Parahip	3733.0	3.252	842.0	0.1
Left-G_orbital	6363.0	2.919	1702.0	0.144
Left-G_pariet_inf-Angular	7130.0	2.778	2039.0	0.123
Left-G_pariet_inf-Supramar	6340.0	2.871	1813.0	0.135
Left-G_parietal_sup	5854.0	2.527	1912.0	0.119
Left-G_postcentral	3527.0	2.212	1271.0	0.106
Left-G_precentral	5740.0	2.956	1483.0	0.105
Left-G_precuneus	5496.0	2.702	1640.0	0.118
Left-G_rectus	2677.0	2.819	695.0	0.126
Left-G_subcallosal	1140.0	2.726	416.0	0.137
Left-G_temp_sup-G_T_transv	726.0	2.77	214.0	0.098
Left-G_temp_sup-Lateral	5487.0	3.191	1227.0	0.13
Left-G_temp_sup-Plan_polar	1619.0	3.632	389.0	0.067
Left-G_temp_sup-Plan_tempo	1382.0	2.733	465.0	0.085
Left-G_temporal_inf	6529.0	2.905	1598.0	0.119
Left-G_temporal_middle	8273.0	3.263	1897.0	0.143
Left-Lat_Fis-ant-Horizont	398.0	2.237	216.0	0.083
Left-Lat_Fis-ant-Vertical	469.0	2.443	217.0	0.066
Left-Lat_Fis-post	1184.0	2.675	594.0	0.096
Left-Pole_occipital	2697.0	1.797	1369.0	0.133
Left-Pole_temporal	5329.0	3.406	1046.0	0.148
Left-S_calcarine	2423.0	1.794	1604.0	0.119
Left-S_central	3282.0	1.979	1904.0	0.08
Left-S_cingul-Marginalis	1839.0	2.362	858.0	0.081
Left-S_circular_insula_ant	886.0	2.914	361.0	0.08
Left-S_circular_insula_inf	2101.0	2.94	835.0	0.066
Left-S_circular_insula_sup	1879.0	2.734	887.0	0.09
Left-S_collat_transv_ant	1495.0	2.705	664.0	0.084
Left-S_collat_transv_post	658.0	2.374	342.0	0.128
Left-S_front_inf	3046.0	2.326	1423.0	0.102
Left-S_front_middle	1362.0	2.12	739.0	0.115
Left-S_front_sup	5641.0	2.424	2331.0	0.104
Left-S_interm_prim-Jensen	325.0	2.614	145.0	0.136
Left-S_intrapariet_and_P_trans	4022.0	2.275	2003.0	0.095
Left-S_oc_middle_and_Lunatus	1167.0	1.93	697.0	0.14
Left-S_oc_sup_and_transversal	1755.0	2.351	843.0	0.1
Left-S_occipital_ant	1497.0	2.343	717.0	0.094
Left-S_oc-temp_lat	972.0	2.739	357.0	0.092
Left-S_oc-temp_med_and_Lingual	2978.0	2.765	1122.0	0.108
Left-S_orbital_lateral	250.0	1.761	160.0	0.13
Left-S_orbital_med-olfact	946.0	2.374	425.0	0.092
Left-S_orbital-H_Shaped	2071.0	2.553	812.0	0.112
Left-S_parieto_occipital	2564.0	2.562	1141.0	0.096
Left-S_pericallosal	1189.0	1.808	817.0	0.121
Left-S_postcentral	2234.0	1.981	1242.0	0.078
Left-S_precentral-inf-part	2162.0	2.722	971.0	0.083
Left-S_precentral-sup-part	1695.0	2.552	804.0	0.09
Left-S_suborbital	789.0	2.549	377.0	0.102
Left-S_subparietal	1415.0	2.745	607.0	0.109
Left-S_temporal_inf	2460.0	2.51	1180.0	0.099
Left-S_temporal_sup	8025.0	2.609	3443.0	0.082
Left-S_temporal_transverse	395.0	2.966	144.0	0.105
