sub_id	moral_decision	RT	smid_id
sub-14	3.0	2.2181569000022137	b15_p454_10
sub-14	5.0	1.708547099999123	b15_p332_12
sub-14	5.0	2.27350959999967	b999_p496_2
sub-14	4.0	0.6823553999965952	b15_p349_15
sub-14	1.0	1.1670362000004388	b15_p467_16
sub-14	3.0	0.3590248000000429	b15_p303_2
sub-14	1.0	0.6870029999990948	b999_p483_16
sub-14	3.0	0.3189373999994132	b999_p489_4
sub-14	3.0	0.6010126000001037	b15_p447_17
sub-14	3.0	0.4116314999992028	b2_p27_9
sub-14	1.0	0.731297899998026	b11_p157_8
sub-14	5.0	0.7683314999994764	b999_p492_1
sub-14	3.0	0.4934197000002314	b15_p465_20
sub-14	1.0	0.5502616999983729	b14_p252_15
sub-14	1.0	0.2892871999974886	b2_p44_12
sub-14	3.0	0.2756505999968794	b15_p415_6
sub-14	1.0	0.977010300000984	b11_p159_10
sub-14	1.0	0.6771085000000312	b15_p317_19
sub-14	1.0	0.5154723999985436	b14_p263_18
sub-14	3.0	n/a	b11_p160_11
sub-14	1.0	0.8028806000002078	b14_p282_1
sub-14	3.0	0.3141249000000243	b15_p355_4
sub-14	2.0	0.3307768000013311	b4_p67_11
sub-14	1.0	0.8818069000008109	b4_p59_3
sub-14	2.0	0.4456683000025805	b11_p166_19
sub-14	1.0	0.5662722000015492	b14_p267_11
sub-14	1.0	0.6887053000027663	b15_p295_16
sub-14	2.0	0.2599169999994046	b15_p384_2
sub-14	1.0	0.505582300000242	b15_p349_7
sub-14	3.0	0.2785125000009429	b9_p120_10
