trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0204306	0.00378
0.0064	-0.1439	0.0169	0.0002844886680750757	-5.759586531581287e-05	6.108652381980153e-05	1.0934875	28.2800827	1.0364488	0.1873585528605345	0.0192424	0.00323
0.0066	-0.1404	0.0094	0.0004799655442984406	-7.67944870877505e-05	0.00013264502315156904	0.994654	25.72402191	0.97248759	0.0255116998663535	0.0205149	0.004
0.0108	-0.0913	0.038	0.0001832595714594046	-0.00015707963267948963	0.00015009831567151235	0.99781263	25.80571175	0.97733542	0.10162222054753592	0.0192884	0.00313
0.0015	0.0344	0.0305	-0.00017802358370342162	3.665191429188092e-05	7.504915783575618e-05	1.10454965	28.56617546	1.02897079	0.17400319299849765	0.020983	0.00392
0.0002	0.0098	0.0209	-0.000640535835481919	0.0001239183768915974	0.00028797932657906436	1.01722527	26.30776596	0.97816877	0.07363544415607613	0.0197601	0.0027
0.0075	-0.0874	0.0155	-7.155849933176751e-05	-0.0001186823891356144	0.00021467549799530252	1.07753742	27.8675766	1.00187964	0.15414409653805625	0.0187487	0.00275
0.01	-0.1883	0.042	0.0003473205211468716	-0.00015009831567151235	0.0002844886680750757	1.07866204	27.89666176	1.00656694	0.15590540585471552	0.0192456	0.0034
0.0091	-0.1909	0.0318	0.0003630284844148205	-4.71238898038469e-05	0.0003577924966588376	1.01619136	26.28102875	0.97903937	0.023299310885968805	0.0194488	0.00374
0.0099	-0.0908	0.0304	0.00016406094968746698	-0.0001308996938995747	0.0002303834612632515	1.08242011	27.99385262	1.02361311	0.12280761871093333	0.0193974	0.00335
0.0021	0.0301	0.0022	-0.0002478367537831948	9.42477796076938e-05	0.0002373647782712288	1.08198631	27.98263359	1.02807257	0.18910132469929536	0.0207143	0.00356
0.0075	-0.1244	-0.0021	0.00015009831567151235	0.00014311699866353502	0.0003630284844148205	1.10449147	28.56466866	1.04388323	0.19282339973270696	0.0189353	0.00285
0.0083	-0.1712	0.0184	0.0002495820830351891	8.028514559173915e-05	0.00028797932657906436	1.01023614	26.12701225	0.97360914	0.07996823891356142	0.0189654	0.00313
0.011	-0.1504	0.0511	0.0002530727415391778	-0.00020420352248333657	0.00041538836197465044	0.9818821	25.39371109	0.96895154	0.07696941809873253	0.0192095	0.00407
0.005	-0.0182	0.036	0.00024085543677521747	-0.0002007128639793479	0.0002443460952792061	1.08295619	28.00771713	1.03261152	0.16263751149816963	0.0205261	0.00411
0.0056	-0.1188	0.014	0.00033335788713091696	-0.00010821041362364843	0.0003106686068549907	1.04919016	27.13445282	1.01210663	0.13576637061435914	0.0196694	0.00326
0.0077	-0.214	0.027	0.00027576202181510406	-5.4105206811824215e-05	0.00039793506945470715	1.04161263	26.93847847	1.01136285	0.12024837673636768	0.0190213	0.0038
0.008	-0.1591	0.0352	0.0001605702911834783	1.7453292519943296e-05	0.00042236967898262774	1.09195614	28.24047661	1.03349534	0.0739592419745657	0.0191372	0.0037
0.0028	-0.0962	0.0381	-9.250245035569947e-05	-6.283185307179586e-05	0.0003630284844148205	1.13219249	29.28108025	1.02382054	0.09063495408493619	0.0193197	0.00281
-0.0039	-0.0415	-0.0025	-0.00045553093477052	0.00020594885173533088	0.0003001966313430247	1.13643205	29.39072609	1.03669983	0.13673205211468714	0.0193052	0.00289
-0.0035	-0.1489	0.008	-0.0001186823891356144	0.00011519173063162575	0.0003769911184307752	1.14383209	29.58210754	1.01691845	0.14352000769131806	0.0175924	0.00232
0.0015	-0.2209	0.0361	-0.000148352986419518	0.00015707963267948963	0.00045902159327450867	1.03952384	26.88445854	0.97595333	0.11277944870877504	0.0174131	0.00244
0.0037	-0.1667	0.0389	-2.4434609527920616e-05	0.00014311699866353502	0.0003822271061867582	0.99846882	25.82268143	0.96364251	0.06993377489976514	0.0173696	0.00243
-0.0065	0.0368	0.0141	-0.0005480333851262194	0.0001972222054753592	0.00024085543677521747	1.18773186	30.71745682	1.08783677	0.2744537825910832	0.0196548	0.00299
-0.0064	-0.0411	-0.0005	-0.0006300638599699529	0.00014137166941154068	0.0001937315469713706	1.03443503	26.75285149	0.9952617	0.10185024503556996	0.0176254	0.00198
0.0022	-0.2077	0.0166	-0.0003385938748868999	0.00016406094968746698	0.00045553093477052	1.14019394	29.48801804	1.05894501	0.22109793265790645	0.0176021	0.00223
-0.0025	-0.196	0.0376	-0.00035430183815484887	6.981317007977319e-05	0.00042411500823462205	0.97267836	25.15568161	0.95225673	0.04446858347057702	0.0167776	0.002
-0.0043	-0.0135	0.0046	-0.00021642082724729686	7.504915783575618e-05	0.0001361356816555577	1.17778707	30.46026039	1.08801066	0.23885481626212995	0.0194332	0.00284
-0.0115	0.0093	-0.0205	-0.00039968039870670147	0.00038048177693476387	0.00024085543677521747	1.05544603	27.29624176	1.00302989	0.08477059728390358	0.0198864	0.0026
-0.0055	-0.1672	-0.0058	-5.759586531581287e-05	0.00029321531433504735	0.0003298672286269283	1.15494382	29.86948204	1.06098611	0.22311813939211575	0.0175695	0.00195
-0.0062	-0.1352	-0.0004	0.0003700098014227979	0.00017802358370342162	0.00026878070480712676	0.99900931	25.83666039	0.9669044	0.0682941960595019	0.0192051	0.00306
-0.0093	-0.0932	0.0198	0.0002844886680750757	0.00021467549799530252	0.00020769418098732522	0.98847175	25.5641346	0.96775096	0.07446297857297021	0.0184465	0.00244
-0.0151	0.027	-0.0037	-0.00028099800957108706	0.0002705260340591211	0.000153588974175501	1.12176073	29.0112915	1.02791847	0.18327212102609025	0.0204859	0.00233
-0.0126	-0.0988	0.0111	-0.00014486232791552936	0.0002565634000431664	0.00020420352248333657	1.06614494	27.57294083	1.00743582	0.1531356431989674	0.017812	0.00196
-0.0175	-0.1548	0.0285	4.886921905584123e-05	0.0002495820830351891	0.00013264502315156904	1.05543399	27.29593277	0.96796439	0.09191356816555576	0.0176166	0.00264
-0.0278	-0.1014	0.0455	-5.061454830783555e-05	0.00037350045992678646	-8.203047484373349e-05	1.01040053	26.13126183	0.98097448	0.1026038821125288	0.0171164	0.00193
-0.0384	0.0917	0.0101	-0.0003385938748868999	0.00043458698374658803	-0.00011344640137963142	1.19247067	30.8400135	1.09918255	0.2581240888467381	0.0214731	0.0046
-0.036	-0.0963	0.0221	5.235987755982988e-06	0.00035081117965086024	-9.42477796076938e-05	1.15080166	29.76235771	1.07422403	0.2247402144255274	0.0172133	0.00179
-0.032	-0.2068	0.0522	-0.0002740166925631097	0.000291469985083053	-7.155849933176751e-05	1.11713123	28.89156151	1.02939974	0.16266415775814133	0.0167374	0.00215
-0.0325	-0.0672	0.0546	-0.00027925268031909274	0.0003054326190990077	-0.00010995574287564276	1.10423148	28.55794525	1.05519919	0.14537979326579067	0.0173997	0.0023
-0.0426	0.0119	0.022	-0.0006510078109938849	0.0004433136300065597	-0.00013264502315156904	1.07044721	27.68420792	1.01893643	0.14841627109291353	0.0176014	0.0023
-0.0379	-0.1252	0.0361	-0.0006597344572538566	0.0005340707511102648	6.806784082777885e-05	1.09518754	28.324049	1.0421111	0.17090983156715123	0.0149314	0.00137
-0.0316	-0.1853	0.0452	-0.0007714355293814937	0.0005864306286700947	0.00023911010752322313	1.02217627	26.43581009	0.97232154	0.09225516081914553	0.0148061	0.00117
-0.0377	-0.1113	0.0434	-0.0004956735075663896	0.0005672320068981572	3.490658503988659e-05	1.03433609	26.75029182	0.97996033	0.1068582083035189	0.0154886	0.0012
-0.0421	0.0185	-0.0016	-0.00046425758103049166	0.0006859143960337716	5.061454830783555e-05	1.12708151	29.14890099	1.04470602	0.18749031394697305	0.0186341	0.00246
-0.0317	-0.1152	0.0018	-0.00021467549799530252	0.0007173303225696694	0.000158824961931484	1.09473133	28.31225014	1.03634382	0.16696042115973672	0.0168558	0.00184
